vehicleplatenumber,rapid_times,deceleration_times,fatigueDriving_times,idlePreheating_times,overlongIdle_times,coastingEngineoff_times,speeding_times,changeRoad_times,safeMiles_flag,speed_stabilization,lowVisibilitySpeeding_times,crossWind_time,highWind_time,adverseweatherSpeeding_times,average_speed,againstWind_time,diseconomicSpeed_rate,safescorebyPredict,totalscorebyPredict
AD00064,198,229,0,0,25,0,0,0,0,0.814179516,0,0,0,0,43.15238807,0,0.994607591,75.87307271,70.53371312
AD00065,402,414,1,0,58,0,2,0,0,0.724364012,0,0,0,0,57.43900411,0,0.77656804,68.41117787,66.16709885
AD00067,174,212,0,2,12,0,0,0,0,0.821440511,0,0,0,0,40.97097434,0,0.993420431,75.95732116,70.83572387
AD00068,505,529,0,0,26,0,0,1,0,0.797344832,0,0,0,0,40.40759106,0,0.950899221,66.67430266,60.65433643
AD00070,267,281,1,0,36,0,4,2,0,0.767354369,0,0,0,0,49.98928626,0,0.858422434,70.34135918,67.41594937
AD00072,356,369,1,0,29,0,0,0,0,0.800746529,0,0,0,0,44.95356896,0,0.974713063,67.97669296,62.67366348
AD00073,161,183,0,0,44,0,2,0,0,0.809331084,0,0,0,0,57.90403773,0,0.734606825,77.62031509,75.63167747
AD00074,110,117,0,0,22,0,0,0,0,0.720542294,0,0,0,0,57.98809911,0,0.810329599,79.41173725,76.99441638
AD00075,253,269,1,0,30,0,2,0,0,0.783448577,0,0,0,0,59.3493483,0,0.665602072,70.54176511,70.55402968
AD00076,369,378,0,1,51,0,0,0,0,0.761763696,0,0,0,0,51.01411303,0,0.849714153,72.05112539,68.45295157
AD00077,300,252,0,5,66,0,0,0,0,0.879001854,0,0,0,0,30.54432841,0,1,76.01957071,66.96564904
AD00078,372,374,0,1,36,0,0,0,0,0.783080935,0,0,0,0,39.15949838,0,0.998909522,71.61970167,64.96386276
AD00080,445,455,0,5,31,0,0,0,0,0.782999561,0,0,0,0,41.67568402,0,0.999876475,68.27135249,61.77478399
AD00081,188,210,1,0,12,0,0,0,0,0.816532416,0,0,0,0,45.71100895,0,0.932007952,71.71027279,67.77680633
AD00082,210,237,0,0,30,0,0,0,0,0.770309534,0,0,0,0,44.17698514,0,0.997698075,75.76452941,70.81477388
AD00083,536,602,4,8,11,0,0,0,0,0.791903845,0,0,0,0,41.73558523,0,0.999434873,55.64339592,52.59853947
AD00086,257,296,2,3,26,0,0,0,0,0.82082252,0,0,0,0,42.28100972,0,0.994889872,65.83108289,61.26054021
AD00088,395,409,0,0,40,0,0,0,0,0.80137173,0,0,0,4,43.66381905,0,0.990216419,70.72952609,64.1796039
AD00089,241,261,1,0,9,0,0,0,0,0.781545129,0,0,0,0,50.56988119,0,0.990018998,70.21643019,66.03962036
AD00090,332,368,2,0,37,0,0,0,0,0.793831473,0,0,0,0,44.59922556,0,0.999658334,65.68507105,60.08242069
AD00097,282,270,0,3,38,0,0,1,0,0.851174694,0,0,0,0,35.4327806,0,0.976556456,74.74981999,67.93925203
AD00099,53,54,0,1,29,0,0,0,0,0.79505433,0,0,0,0,49.58354795,0,0.990455992,81.63751901,76.46821882
AD00100,523,544,3,8,7,0,0,0,0,0.811436227,0,0,0,0,40.35592801,0,0.998781371,57.04147631,53.51576909
AD00101,302,361,1,7,3,0,0,0,0,0.806224622,0,0,0,0,50.61170628,0,0.974178448,65.42388644,62.98946717
AD00104,284,314,2,0,11,0,0,0,0,0.782856934,0,0,0,0,49.61359423,0,0.958485744,65.83133738,62.47976841
AD00106,626,715,3,0,17,0,0,0,0,0.798454029,0,0,0,0,41.69791413,0,0.998999242,57.01207932,51.85432633
AD00109,269,325,0,6,18,0,0,0,0,0.782651142,0,0,0,0,45.70574446,0,0.993074822,71.7839669,67.41365327
AD00110,213,245,0,1,35,0,0,0,0,0.759515576,0,0,0,0,45.64977044,0,0.993904692,75.53967762,70.83526645
AD00112,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,1,84.11236733,74.9180674
AD00113,296,366,0,0,25,0,0,0,0,0.777056838,0,0,0,0,47.43937657,0,0.989806521,71.29539221,66.81744493
AD00114,273,289,0,1,66,0,0,0,0,0.835777942,0,0,0,0,36.21518353,0,0.958821715,75.05795382,68.43194148
AD00117,750,764,2,1,42,0,6,1,0,0.863854973,0,0,0,0,41.44889767,0,0.993036339,57.44339257,49.75996496
AD00120,235,271,0,0,12,0,0,0,0,0.774773296,0,0,0,0,49.85099602,0,0.915158414,74.1139627,70.69897652
AD00121,429,475,1,7,5,0,0,0,0,0.794457198,0,0,0,0,45.75201095,0,0.996116792,62.32990071,58.91862022
AD00123,233,243,0,0,35,0,2,0,0,0.784038128,0,0,0,0,52.95832439,0,0.833106835,75.49792894,72.60352158
AD00124,280,300,2,0,64,0,5,0,0,0.757392029,0,0,0,0,59.8245117,0,0.770118199,68.33535198,66.34118741
AD00126,162,185,1,0,26,0,0,0,0,0.769257756,0,0,0,0,69.69180272,0,0.790257442,73.05584115,71.24366791
AD00127,279,315,1,10,15,0,0,0,0,0.754901847,0,0,0,6888,48.51411957,0,0.853939417,52.38016233,53.41656705
AD00129,319,323,0,0,57,0,13,0,0,0.774156666,0,0,0,0,59.44069938,0,0.777485809,72.35855717,70.35801175
AD00130,372,399,0,0,50,0,0,1,0,0.823232967,0,0,0,0,39.35628433,0,0.941680129,71.28275887,65.03418347
AD00132,258,259,0,0,50,0,8,0,0,0.810207709,0,0,0,0,42.91274162,0,0.910690335,74.65468839,69.881758
AD00133,226,246,1,0,24,0,0,0,0,0.814733212,0,0,0,0,38.92727061,0,0.99858123,71.0763714,65.58329341
AD00134,270,265,0,0,43,0,0,0,0,0.750737651,0,0,0,0,59.26972176,0,0.823796467,75.39975404,72.70454383
AD00135,267,274,0,0,47,0,2,0,0,0.756765642,0,0,0,0,62.22099502,0,0.737140503,74.93337276,73.53709526
AD00137,224,228,2,0,35,0,0,0,0,0.764101054,0,0,0,0,55.3542042,0,0.704166667,69.2731853,68.41311028
AD00138,307,339,0,19,39,0,1,0,0,0.752121112,0,0,0,0,56.71608203,0,0.717765009,70.69144913,70.98835115
AD00140,427,406,0,0,57,0,38,0,0,0.731220897,0,0,0,0,55.23870878,0,0.879826612,67.33027298,63.84529463
AD00141,281,292,2,11,21,0,63,0,0,0.724566252,0,0,0,0,58.9387971,0,0.828828662,57.6569136,60.3598861
AD00144,229,247,0,0,36,0,3,0,0,0.754219344,0,0,0,0,65.43281964,0,0.761066892,75.26264096,73.74468624
AD00145,310,321,2,0,71,0,123,0,0,0.718062503,0,0,0,0,58.86168382,0,0.843327147,57.61397937,56.22865698
AD00147,231,256,0,1,53,0,5,0,0,0.737669325,0,0,0,0,55.97298828,0,0.760244403,75.10937834,73.87966164
AD00150,272,264,0,13,32,0,29,0,0,0.735318731,0,0,0,0,68.77972613,0,0.786216618,69.66603228,70.16092618
AD00151,300,329,1,1,59,0,14,0,0,0.781553881,0,0,0,0,58.98070086,0,0.84937499,68.36733074,65.90245605
AD00152,306,304,0,10,20,0,14,0,0,0.737509493,0,0,0,0,49.65637275,0,0.773155125,70.38009946,69.98806418
AD00156,433,448,0,0,67,0,3,0,0,0.816716453,0,0,0,0,42.39727662,0,0.916074432,70.18589025,63.5399919
AD00158,298,324,0,0,52,0,0,0,0,0.746307438,0,0,0,0,58.36337799,0,0.912215548,73.78153986,70.03932091
AD00159,175,182,1,0,37,0,12,0,0,0.782695617,0,0,0,0,74.15433461,0,0.702586002,72.05915846,71.10395737
AD00161,381,405,0,1,45,0,2,0,0,0.798863479,0,0,0,586,55.59840826,0,0.751639887,69.16372812,67.8767802
AD00162,373,373,1,0,45,0,0,0,0,0.769569335,0,0,0,462,48.07167389,0,0.844640642,67.88614985,64.3229375
AD00163,224,231,0,14,48,0,15,0,0,0.740820635,0,0,0,0,70.24915881,0,0.864563223,73.21854857,71.74937935
AD00165,359,332,0,0,59,0,0,0,0,0.726012301,0,0,0,0,56.27805999,0,0.856093406,74.11321289,70.26140339
AD00166,591,625,0,0,63,0,1,0,0,0.720585809,0,0,0,0,58.1818811,0,0.780800584,66.10020846,62.96153556
AD00170,420,450,1,0,28,0,0,0,0,0.807743493,0,0,0,0,48.27560882,0,0.998696235,65.66258456,60.32369171
AD00171,352,370,0,16,19,0,0,0,0,0.776938264,0,0,0,0,49.87102677,0,0.926929561,69.40425681,65.742988
AD00174,179,197,1,0,32,0,102,0,0,0.74417614,0,0,0,0,63.88439718,0,0.817856076,60.71902486,60.90741398
AD00175,192,201,0,0,26,0,0,0,0,0.830616942,0,0,0,0,56.07698052,0,0.893952794,76.88713743,72.57327942
AD00178,164,173,0,0,41,0,260,0,0,0.750867259,0,0,0,0,56.39161001,0,0.856052998,46.74798382,47.7218188
AD00179,479,526,0,5,43,0,0,0,0,0.83759034,0,0,0,0,34.50836773,0,0.999208458,66.08901629,58.24715813
AD00182,310,380,0,12,35,0,0,0,0,0.768370887,0,0,0,0,48.98315002,0,0.963704355,69.70385963,65.8666036
AD00186,238,285,0,1,20,0,0,0,0,0.850381283,0,0,0,0,38.18911491,0,0.999154374,73.71125301,67.89327014
AD00189,259,244,1,1,61,0,4,0,0,0.754066974,0,0,0,0,64.82826443,0,0.711983245,72.31079663,71.19541351
AD00190,230,220,0,4,26,0,0,0,0,0.84576823,0,0,0,0,39.86613821,0,0.998656905,76.0161885,69.58216465
AD00192,44,49,0,2,2,0,0,0,0,0.841859475,0,0,0,0,43.41669822,0,0.994698978,81.43274661,75.42634785
AD00193,198,231,0,2,26,0,0,0,0,0.851991777,0,0,0,0,37.17932876,0,0.996963192,75.6878493,69.73153848
AD00194,214,220,2,6,18,0,27,0,0,0.828265779,0,0,0,0,77.91206263,0,0.546456038,63.74486474,67.66811663
AD00204,113,112,0,2,5,0,0,0,0,0.809836421,0,0,0,0,47.70142857,0,0.943047619,79.27866099,74.40440982
AD00205,127,131,0,8,19,0,0,0,0,0.809963645,0,0,0,0,42.14482676,0,0.993404323,78.71301172,73.42396783
AD00207,146,139,0,1,34,0,0,0,0,0.833847746,0,0,0,0,39.34934333,0,1,79.08462172,73.03419293
AD00208,116,113,0,6,17,0,0,0,0,0.829088389,0,0,0,0,35.89845225,0,0.99861583,79.40728926,73.67234359
AD00209,258,262,0,9,16,0,0,0,0,0.844923712,0,0,0,0,32.29707754,0,0.998944006,73.92868128,67.3576657
AD00213,9,9,0,1,3,0,22,0,0,0.821017548,0,0,0,0,86.14803876,0,0.818827873,79.81859008,72.77428175
AD00223,169,182,0,4,18,0,51,0,0,0.77135071,0,0,0,0,61.3584519,0,0.791950201,69.74702586,69.33001277
AD00224,145,146,0,7,22,0,0,0,0,0.752760748,0,0,0,0,62.5332405,0,0.739912307,78.15721781,76.74269271
AD00225,70,68,0,0,14,0,0,0,0,0.799499493,0,0,0,0,41.01099285,0,0.984819403,80.95415695,75.76729879
AD00233,176,200,0,4,10,0,0,0,0,0.799442226,0,0,0,0,40.91780741,0,0.999733909,76.20758567,71.18526505
AD00236,31,29,0,1,7,0,0,0,0,0.822468459,0,0,0,0,51.24090506,0,0.834405501,82.12786093,77.60797553
AD00245,23,23,0,10,6,0,0,0,0,0.700254315,0,0,0,0,65.37560976,0,0.672473868,81.85101282,80.42225289
AD00246,49,58,0,1,6,0,0,0,0,0.8170873,0,0,0,0,48.13430127,0,0.977676951,81.14669,75.64719778
AD00247,19,17,0,2,0,0,0,0,0,0.76730334,0,0,0,0,61.96321839,0,0.747701149,82.22720873,78.32220957
AD00248,178,196,0,0,8,0,0,0,0,0.874806294,0,0,0,0,22.34310696,0,1,76.63703439,70.08636441
AD00250,436,457,3,2,27,0,0,0,0,0.808469288,0,0,0,0,39.94490262,0,0.972111963,61.52423679,56.17409838
AD00252,104,147,0,7,15,0,0,0,0,0.799709811,0,0,0,0,49.09170279,0,0.902035164,78.04795814,74.68058971
AD00254,255,267,3,0,26,0,0,0,0,0.775470087,0,0,0,0,54.72703524,0,0.728687956,65.90321631,65.08011188
AD00256,107,128,0,3,17,0,0,1,0,0.827499945,0,0,0,0,34.26958618,0,0.99379492,78.98014681,73.62808747
AD00259,155,162,1,8,6,0,0,0,0,0.843668693,0,0,0,0,41.23751114,0,0.999965737,72.16495376,67.29225585
AD00267,244,237,2,10,22,0,10,0,0,0.83199917,0,0,0,0,78.27133038,0,0.663690946,64.77314802,68.06831063
AD00277,50,50,0,0,4,0,0,0,0,0.802860839,0,0,0,0,46.01095557,0,0.988131467,81.3606105,75.82932069
AD00283,316,327,1,6,19,0,0,0,0,0.798313484,0,0,0,0,37.06458276,0,0.989524271,67.60767511,62.50616842
AD00285,214,215,0,10,10,0,0,0,0,0.806632489,0,0,0,0,40.28119309,0,0.990356194,75.41685868,70.02298795
AD00287,233,265,0,4,16,0,1,0,0,0.80494693,0,0,0,0,53.21828695,0,0.802041923,73.92994432,72.02611004
AD00289,399,448,1,7,18,0,0,0,0,0.794390165,0,0,0,0,41.5908482,0,0.990875381,63.61160471,59.31099949
AD00290,36,35,0,4,3,0,361,0,0,0.751481328,0,0,0,0,51.69118844,0,0.963675214,37.1695056,37.09412971
AD00291,81,112,0,2,9,0,1,0,0,0.807503424,0,0,0,0,53.07705856,0,0.772032459,79.19332581,76.46030064
AD00292,289,295,4,9,21,0,501,0,0,0.801509387,0,0,0,0,69.84066952,0,0.711437366,29.72841438,38.70728563
AD00294,116,127,0,5,13,0,0,0,0,0.803289829,0,0,0,0,45.08541645,0,0.990745665,78.80046008,73.75702801
AD00297,60,87,0,0,11,0,0,0,0,0.841649658,0,0,0,0,33.454794,0,0.97456765,80.35567997,75.11883709
AD00298,58,82,0,1,10,0,0,0,0,0.831528393,0,0,0,0,53.61240768,0,0.928626292,80.45381328,75.38234727
AD00302,245,240,2,5,15,0,0,0,0,0.816010408,0,0,0,0,50.66857349,0,0.920887846,66.76397529,64.07253026
AD00304,212,211,1,10,21,0,0,0,0,0.836547137,0,0,0,0,42.89668215,0,0.999603073,70.75785828,65.72454307
AD00307,226,233,0,5,39,0,0,0,0,0.865598967,0,0,0,0,27.93148223,0,0.999926641,75.80695321,68.61484586
AD00309,186,185,2,5,29,0,19,0,0,0.796622156,0,0,0,0,70.94171678,0,0.590936819,66.58404785,68.76789741
AD00310,229,272,1,2,13,0,0,0,0,0.796493308,0,0,0,0,51.36334731,0,0.835385379,69.50387008,67.93647126
AD00314,35,38,1,5,6,0,2,0,0,0.807045679,0,0,0,0,72.11147674,0,0.554751177,76.3778381,74.61720939
AD00315,160,184,0,10,14,0,7,0,0,0.816672287,0,0,0,0,63.82767949,0,0.595276741,75.61386408,76.00529627
AD00320,96,93,0,10,10,0,458,0,0,0.766237939,0,0,0,0,77.23121482,0,0.730658463,28.82121704,31.6131042
AD00327,74,78,0,1,14,0,0,0,0,0.773546087,0,0,0,0,37.96915124,0,1,80.53655773,75.74279624
AD00328,61,73,1,2,6,0,0,0,0,0.753655826,0,0,0,0,64.81595134,0,0.763600328,75.70447329,73.36908529
AD00331,104,116,0,0,9,0,0,0,0,0.837927107,0,0,0,0,28.28745695,0,0.9885907,79.34544921,73.79109424
AD00332,25,21,0,1,6,0,40,0,0,0.751819083,0,0,0,0,60.77101713,0,0.847042034,76.85872121,73.25052619
AD00338,47,55,0,1,7,0,0,0,0,0.769554231,0,0,0,0,45.37382267,0,0.994586987,81.14078379,76.28077212
AD00340,165,165,0,8,25,0,0,0,0,0.818925746,0,0,0,0,38.58753142,0,1,77.65439366,71.88545934
AD00344,290,273,2,1,37,0,101,0,0,0.794935011,0,0,0,0,73.13605537,0,0.670806878,57.58189024,60.34928439
AD00347,59,58,0,1,3,0,0,0,0,0.777089294,0,0,0,0,46.36454344,0,0.937915743,80.99294914,76.44478723
AD00349,421,465,0,7,29,0,0,0,0,0.80058027,0,0,0,0,53.68045901,0,0.774922763,67.299544,66.39575515
AD00350,184,197,2,5,14,0,0,0,0,0.793167204,0,0,0,0,57.21942369,0,0.69144132,67.85499712,68.61748645
AD00355,139,149,0,5,13,0,3,0,0,0.774065904,0,0,0,0,70.42392068,0,0.615905805,77.56204222,76.69786908
AD00357,71,69,0,4,9,0,0,0,0,0.803651725,0,0,0,0,36.53509593,0,0.930978007,80.73865717,76.35173324
AD00359,137,136,1,5,11,0,2,0,0,0.831015431,0,0,0,0,50.51792651,0,0.918737754,73.23299753,69.54054752
AD00361,78,79,0,2,20,0,131,0,0,0.801825427,0,0,0,0,79.28895383,0,0.653185272,62.06858252,61.22101847
AD00366,293,306,4,5,8,0,0,0,0,0.808725181,0,0,0,0,51.0716481,0,0.873664526,61.29460343,60.56440853
AD00368,135,142,0,3,19,0,0,0,0,0.806418326,0,0,0,0,41.08271293,0,0.948500785,78.49682241,73.87584846
AD00369,81,80,0,9,6,0,367,0,0,0.744689816,0,0,0,0,77.67320542,0,0.901801415,34.9794454,38.18295509
AD00376,213,231,0,10,29,0,0,0,0,0.802489154,0,0,0,0,38.44207441,0,0.96857959,75.23572424,70.14991751
AD00384,478,456,3,8,31,0,0,0,0,0.808922308,0,0,0,0,36.94146106,0,1,60.40444869,54.31751149
AD00387,66,63,1,5,8,0,2,0,0,0.800784531,0,0,0,0,70.8671546,0,0.517946661,75.5997312,74.76281967
AD00391,229,251,2,9,10,0,0,0,0,0.845931282,0,0,0,0,41.04315437,0,0.982942279,65.04380277,61.6342758
AD00392,176,183,1,4,5,0,0,0,0,0.793151181,0,0,0,0,55.87683944,0,0.730035617,71.91811495,71.22808464
AD00396,24,28,0,0,4,0,6,0,0,0.89271279,0,0,0,0,76.75895433,0,0.226622596,81.55643399,76.98068406
AD00397,364,359,0,3,19,0,0,0,0,0.810835757,0,0,0,0,41.17925606,0,0.993963619,71.21447596,65.07847684
AD00400,48,44,0,4,2,0,23,0,0,0.739361936,0,0,0,17,64.86215253,0,0.775053457,78.13519611,75.35437334
AD00403,255,264,3,3,32,0,10,1,0,0.755092547,0,0,0,0,69.3767122,0,0.671838402,64.67811452,66.17041003
AD00410,29,36,0,3,7,0,0,0,0,0.791668348,0,0,0,0,54.15579392,0,0.846843679,81.78244301,77.76873616
AD00412,67,76,0,2,7,0,3,0,0,0.778907968,0,0,0,2921,77.78257364,0,0.697244225,72.65867739,70.79491531
AD00415,80,90,0,3,22,0,0,0,0,0.833780841,0,0,0,0,45.86477097,0,0.996632637,80.36781923,74.73364616
AD00416,122,130,0,8,9,0,0,0,0,0.829642917,0,0,0,0,42.81696758,0,0.999534071,78.61440016,73.00027535
AD00417,143,182,1,8,10,0,0,0,0,0.794550128,0,0,0,0,55.54554375,0,0.736493874,71.51098026,71.5929676
AD00418,185,181,0,2,6,0,0,0,0,0.842000919,0,0,0,0,31.8768793,0,1,76.9916708,70.83679973
AD00419,185,199,2,11,14,0,0,0,0,0.833493389,0,0,0,0,46.90008177,0,0.97626362,66.47885668,63.5727663
AD00423,279,306,0,1,16,0,0,0,0,0.833114241,0,0,0,0,44.72876157,0,0.987452132,72.95490362,67.51251612
AD00427,342,374,3,2,11,0,0,0,0,0.801235593,0,0,0,0,39.95731187,0,0.99749214,62.07165579,57.65295774
AD00429,134,156,0,4,19,0,0,0,0,0.815865205,0,0,0,0,46.21961629,0,0.979379107,77.97354869,73.0090448
AD00431,259,263,1,14,16,0,0,0,0,0.79222473,0,0,0,0,55.43531799,0,0.717006147,68.41187131,69.43788415
AD00432,213,228,0,2,8,0,0,0,0,0.794637439,0,0,0,0,41.18089373,0,0.974830254,75.33446589,70.5438754
AD00437,51,48,0,5,6,0,35,0,0,0.757840265,0,0,0,0,77.97605253,0,0.841946698,76.42510056,72.70564187
AD00438,25,24,0,3,3,0,0,0,0,0.752938198,0,0,0,0,58.08656716,0,0.715588723,81.99405815,79.10398178
AD00443,45,41,0,4,5,0,0,0,0,0.77121368,0,0,0,0,29.93725943,0,1,81.51016784,76.89025992
AD00444,47,52,0,1,8,0,0,0,0,0.784600764,0,0,0,0,37.69289962,0,1,81.29482319,76.32541857
AD00449,246,269,1,13,28,0,0,0,0,0.847986133,0,0,0,0,38.22833815,0,0.996202452,68.52507577,63.28365732
AD00450,200,217,1,3,12,0,2,0,0,0.82524168,0,0,0,0,34.13248938,0,0.959143751,70.80550156,66.26321335
AD00461,217,220,0,1,28,0,0,0,0,0.828919587,0,0,0,0,38.72990396,0,0.999734706,76.24649082,70.1297187
AD00471,141,162,0,10,21,0,11,0,0,0.749566452,0,0,0,0,53.47829847,0,0.762187451,75.85497105,75.2543872
AD00472,101,103,0,8,18,0,83,1,0,0.72545277,0,0,0,0,62.27570402,0,0.763474505,67.48965828,68.61455757
AE00028,100,106,0,0,23,0,0,0,0,0.754068308,0,0,0,0,71.0001042,0,0.803063457,79.82672822,76.43685476
AE00226,183,200,1,1,27,0,0,0,0,0.776998766,0,0,0,0,51.64048508,0,0.81384639,72.51393172,70.45896538
AE00269,130,140,0,5,21,0,51,0,0,0.76162527,0,0,0,0,53.13494238,0,0.819948004,71.2049196,70.44784521
AE00270,140,164,1,5,22,0,0,0,0,0.794940805,0,0,0,0,45.46853918,0,0.910433196,72.8601314,69.79516382
AE00295,75,65,1,1,9,0,2,0,0,0.726823174,0,0,0,0,60.35653105,0,0.641492341,75.96872066,74.6939331
AE00300,115,116,3,7,10,0,36,0,0,0.761335686,0,0,0,0,72.90743938,0,0.700648099,62.81064691,64.87120932
AE00341,99,101,0,2,11,0,0,0,0,0.810226953,0,0,0,0,45.0341301,0,0.942442621,79.76684078,74.99404805
AE00447,212,220,3,1,40,0,1,0,0,0.758215239,0,0,0,0,60.2087865,0,0.703674985,67.29694933,66.65883113
AF00029,132,148,1,0,9,0,0,0,0,0.82013215,0,0,0,0,39.83358536,0,0.995009829,73.55084357,68.47429677
AF00030,161,183,2,0,9,0,0,0,0,0.823280717,0,0,0,0,47.40820876,0,0.992896841,68.78444279,64.40282543
AF00031,146,171,1,4,5,0,0,0,0,0.82060144,0,0,0,0,40.95925188,0,0.94966409,72.18730114,68.34187298
